station_name,station_full_name,station_zone,average_delay,median_delay,total_records
CKB,CHAUTH KA BRWRA,NWR,22.473059360730595,15.0,4380
CKBK,CHIKKABENAKAL,SWR,14.652790484903933,10.0,2186
CKD,CHARKHI DADRI,NWR,20.75016804839794,11.0,8926
CKDL,CHAKDAYALA,NR,31.69057211925866,27.0,1241
CKE,CHOKI SORATH,WR,11.315500685871056,10.0,1458
CKG,CHOWKA GHAT,NER,84.86702954898911,60.0,1286
CKH,CHAKAND,ECR,28.093150319829423,13.0,7504
CKI,CHALAKUDI,SR,24.204427936785375,17.0,13731
CKK,CHAKARPUR,NER,6.895205479452055,3.0,2920
CKKD,CHARKHEDA KHURD,WCR,61.49656121045392,44.0,1454
CKLA,CHAK BANWALA,NR,7.024041387705417,3.0,3286
CKLT,CHAKKALI LAI H,NR,33.68957788569294,23.0,2677
CKM,CHAUKI MAN,NR,26.331961187885916,21.0,3401
CKMI,CHHOTAKI MASAUDHI H,ECR,16.345006485084305,7.0,3855
CKN,CHINTAKANI,SCR,59.41547708489857,54.0,1331
CKNA,CHIKNA F,ECR,63.256506849315066,47.0,2920
CKNI,CHIKNI ROAD,CR,44.97361111111111,42.0,720
CKOD,CHAKROD,WR,15.458219178082192,13.0,1460
CKP,CHAKRADHARPUR,SER,129.3749833488744,94.0,15014
CKR,CHIKODI ROAD,SWR,16.99285009861933,13.0,4056
CKRD,CHAKMAKRAND,ECR,43.767920900851415,27.0,3641
CKS,CHAKSU,NWR,29.889423076923077,21.0,1456
CKSR,CHAKSAFAURA H,NER,4.57852193995381,3.0,2598
CKTD,CHITRAKOOTDHAM,NCR,56.30785541195477,29.0,9904
CKU,CHAKULIA,SER,103.64933018124508,33.0,7614
CKV,CHERUKUVADA,SCR,5.221967963386728,0.0,2185
CKVD,CHIKKANDAWADI H,SWR,1.7984084880636604,0.0,1131
CKW,CHALKHOWA,NFR,28.476038338658146,24.5,626
CKX,CHAKUR,SCR,52.06310013717421,43.0,729
CKYD,CHAKRA ROAD H,NER,53.6140350877193,30.0,2052
